Edep_detectavel_MeV,E_measured_MeV,Canal_MCA
0.259095,0.2358365303433693,301.8707588395127
0.232684,0.2141131891229849,274.0648820774207
0.17205,0.17286039462261876,221.26130511695203
0.207383,0.21263456873540273,272.1722479813155
0.479398,0.47791833720994253,611.7354716287265
0.195244,0.20126893375408345,257.6242352052268
0.121722,0.11622083771892164,148.7626722802197
0.662,0.64912281745876,830.8772063472128
0.163243,0.16265454040452662,208.19781171779408
0.157543,0.16319270970755226,208.8866684256669
0.448131,0.4354008034325974,557.3130283937247
0.42613,0.4299418207170285,550.3255305177966
0.662,0.6787798264059511,868.8381777996175
0.0544823,0.050875487769777177,65.12062434531478
0.342132,0.34552437777518097,442.27120355223167
0.024406,0.02534494817059442,32.441533658360854
0.405962,0.39523158283033183,505.89642602282476
0.662,0.6492271518387195,831.010754353561
0.0712618,0.06863905619990977,87.85799193588451
0.37799,0.3816957870007066,488.57060736090443
0.662,0.6650192548777231,851.2246462434855
0.204687,0.21000889633161082,268.81138730446185
0.103135,0.10408808529130577,133.2327491728714
0.1309,0.1351737424009968,173.0223902732759
0.0406769,0.03914677581210229,50.10787303949093
0.0602396,0.05925976250051211,75.8524960006555
0.0487231,0.049024480402234366,62.75133491485999
0.662,0.6688785390680939,856.1645300071602
0.449176,0.463395316190951,593.1460047244173
0.662,0.6403077332845375,819.593898604208
0.328575,0.3132698871139807,400.9854555058953
0.100336,0.10027885904186853,128.35693957359172
0.0851589,0.08686286084410014,111.18446188044817
0.662,0.6186210859444629,791.8349900089124
0.170227,0.18594247578803294,238.00636900868216
0.22065,0.20836116983092232,266.70229738358057
0.662,0.6770320991283303,866.6010868842627
0.257842,0.26859777952585245,343.80515779309115
0.307969,0.321546845461487,411.5799621907033
0.0872949,0.08458420815342536,108.26778643638447
0.461264,0.46251772782476425,592.0226916156982
0.662,0.6827211341990226,873.8830517747489
0.423828,0.41852463825008474,535.7115369601084
0.263589,0.25909978115080723,331.6477198730332
0.662,0.6546106153535506,837.9015876525448
0.0789668,0.08100519097833124,103.68664445226399
0.110817,0.10315194119891617,132.0344847346127
0.662,0.6752523546690803,864.3230139764228
0.0947746,0.0900696639176137,115.28916981454555
0.662,0.7010575993282065,897.3537271401044
0.105574,0.10583432202120502,135.46793218714242
0.331221,0.3508471072505388,449.08429728068967
0.152546,0.1410125179870292,180.49602302339738
0.110385,0.11261416837081197,144.14613551463933
0.125448,0.11397899196748047,145.893109718375
0.271927,0.29398290718182346,376.298121192734
0.237194,0.2293930799056129,293.6231422791845
0.253869,0.25805036208779575,330.30446347237853
0.122525,0.1327186449718185,169.8798655639277
0.12127,0.11975586092233165,153.28750198058452
0.461312,0.4563398425332536,584.1149984425646
0.169117,0.17680194830961107,226.30649383630217
0.662,0.6566680678022574,840.5351267868895
0.334587,0.33246810614561684,425.5591758663895
0.662,0.6439638652330134,824.2737474982572
0.282535,0.2701784706224198,345.8284423966973
0.0213604,0.023269010695398155,29.78433369010964
0.146965,0.13143172986964227,168.2326142331421
0.426161,0.4238843149965075,542.5719231955296
0.359613,0.365634124511432,468.011679374633
0.374785,0.36531153234232855,467.59876139818056
0.662,0.6798306446045385,870.1832250938093
0.130855,0.10495601664703559,134.34370130820557
0.182177,0.18976639741548607,242.90098869182216
0.37226,0.3440037372312819,440.32478365604084
0.208585,0.2096581769933359,268.36246655146994
0.662,0.6691533015915656,856.516226037204
0.662,0.680391260471871,870.9008134039949
0.197252,0.19983380629219272,255.78727205400668
0.458526,0.446071907060678,570.9720410376679
0.17461,0.16858288197641633,215.7860889298129
0.662,0.6335918646003851,810.9975866884929
0.185265,0.2054815564169018,263.0163922136343
0.413234,0.4059845175312674,519.6601824400223
0.40755,0.3940022395815211,504.322866664347
0.662,0.6471066506454237,828.2965128261424
0.662,0.6594529109596011,844.0997260282894
0.662,0.6659924972418307,852.4703964695434
0.306062,0.3124368170582414,399.919125834549
0.039013,0.038122965608482974,48.797395978858205
0.257479,0.2504262690924887,320.5456244383856
0.365778,0.3608156234265307,461.8439979859593
0.421082,0.39057841043313585,499.94036535441387
0.0870429,0.06678787236481806,85.48847662696713
0.242204,0.2275671256542395,291.28592083742654
0.21495,0.22525359275768456,288.3245987298362
0.0875315,0.07507621467950551,96.09755478976706
